key,Enum_name,Type_Seat,Const_Number,UID,Candidate_Name,motor_cost,Motor Number
uuid:c11b0b12-ca14-462f-a667-96a6baa41f7b,Hamza Hashmi,NA,19,-9999,Imran Ullah,0,0
uuid:7c681bd8-83e8-41fc-89a9-e897c40f69b7,Hamza Hashmi,NA,19,-9999,Muhammad Kamal,0,0
uuid:3e70b2aa-2719-4698-89f3-c235346bfe8c,Hamza Hashmi,NA,19,-9999,Muhammad Mushtaq,0,0
uuid:63ef1d7a-9e0c-4b9d-8a2a-0671be1f8213,Hamza Hashmi,NA,19,-9999,Shahab,0,0
uuid:0bf49feb-1c1c-4540-8395-d0cb97956606,Hamza Hashmi,NA,19,-9999,Shahram Khan,0,0
uuid:f9701de9-162b-4665-98b6-0ff1d0fb31fb,Hamza Hashmi,NA,19,-9999,Tufail Muhammad,0,0
uuid:318d6b8c-e33d-4fe0-98b8-ec7d6d0cd71a,Hamza Hashmi,NA,19,1123,Shehzad Ali Khan,0,0
uuid:b3e42680-ad11-4850-aaf6-c9cff3290f4a,Hamza Hashmi,NA,19,1127,Atta Ul Haq,0,0
uuid:abc94520-5b02-4de6-bab2-d58002ee3f4f,Hamza Hashmi,NA,19,1131,Shahid Khan,0,0
uuid:fd7b67e5-1924-4dba-ba98-85bdf1101ba7,Hamza Hashmi,NA,19,1133,Syed Khalid,0,0
uuid:c58d4da1-60e3-474c-adc7-7babdc8e883b,Hamza Hashmi,NA,19,1135,Waris Khan,0,0
uuid:4f8a094c-4fbe-4a94-bd5b-96e854e86fbd,Hamza Hashmi,NA,20,-9999,Adnan Khan,0,0
uuid:57e9e4f4-f9ca-4d24-83d0-6240ac33da52,Hamza Hashmi,NA,20,-9999,Ghulam Ishaq Khan,0,0
uuid:ebfe4a1c-3b9d-4289-9e91-71574d00e01e,Hamza Hashmi,NA,20,-9999,Liaqat Ali,0,0
uuid:d775bc84-fa84-4a50-a83a-98b7adcd88ea,Hamza Hashmi,NA,20,-9999,Muhammad Khazir,0,0
uuid:00bb00a6-601d-4263-9f78-dd851ec1ea66,Hamza Hashmi,NA,20,-9999,Sajjad Syed,-99,0
uuid:e0de7fee-948e-49f6-8fd7-75f437f13f81,Hamza Hashmi,NA,20,1250,Ataur Rehman,0,0
uuid:96c236a2-a9ed-4bdd-b5ce-79eafafa0c9b,Hamza Hashmi,NA,20,1251,Gul Nawaz Khan,-99,0
uuid:727510f7-3ccf-4831-8caa-0e677cf7338a,Hamza Hashmi,NA,21,-9999,Ahmad Khan,0,0
uuid:c602a667-8762-4cfc-934c-998c1834ed40,Hamza Hashmi,NA,21,-9999,Iftikhar Ahmad,0,0
uuid:0b6b4ff2-898b-451f-afc0-df963281b007,Hamza Hashmi,NA,21,-9999,Syed Ikram Ullah,0,0
uuid:82ab4318-2483-46ca-b647-c13a5d31a664,Hamza Hashmi,NA,21,-9999,Umar Masood,0,0
uuid:140504bb-f5ef-4b65-bf7d-7e4d2da9a9d3,Hamza Hashmi,NA,21,1386,Mukhtiar,0,0
uuid:db221008-5978-4abb-a76d-4655077d88a1,Hamza Hashmi,NA,21,1388,Syed Abid Ali,0,0
uuid:48e68191-e5f0-4181-9cc5-495b7cacbc92,Hamza Hashmi,NA,22,-9999,Amir Khan,0,0
uuid:9fb1d70e-47c4-4852-a392-1b74100164f8,Hamza Hashmi,NA,22,-9999,Jalal Khan,-99,0
uuid:deac3f82-fc31-46e9-871a-3427841471d7,Hamza Hashmi,NA,22,-9999,Sultan Muhammad,0,0
uuid:0b52e2f3-1c3b-42f7-91a6-4d3bc5b0cbd7,Hamza Hashmi,NA,22,1532,Azmat Ali,0,0
uuid:b0a8f236-d7e4-44f9-aa2e-9cff12f49f3e,Hamza Hashmi,NA,22,1534,Jamshid Khan,0,0
uuid:747c9878-8bc2-460d-acf7-4c8b5bb73c4d,Hamza Hashmi,NA,22,1535,Malik Aman Khan,-99,0
uuid:73598b9f-4505-4515-803e-45c21fa32fc8,Hamza Hashmi,NA,22,1536,Muhammad Qasam,0,0
uuid:47a35f04-ce2e-4a7e-8de6-5477031731d5,Hamza Mehmood,NA,23,-9999,Hafiz Kamal,-99,0
uuid:aaf34fd7-ce8a-4e48-b671-4d3ad729569d,Hamza Mehmood,NA,23,-9999,Muzamil Khan,0,0
uuid:4b750d07-7871-46b2-a2df-41f9fc8f95ee,Hamza Mehmood,NA,23,-9999,Shahid Ullah Khan,-99,0
uuid:d5e701d7-6ac6-4fcd-b946-f6b5eecd49a6,Hamza Mehmood,NA,23,-9999,Siraj Ul Haq,-99,0
uuid:7fbe828b-c7c3-47da-a2d8-b94b8b83e577,Hamza Mehmood,NA,23,1642,Tahira Bukhari,0,0
uuid:46316270-ef76-4179-9c1b-2f73e1b2664e,Hamza Mehmood,NA,23,1643,Gulzar Ahmad,0,0
uuid:e3c4b194-ff79-4e2d-8474-8aac7555434d,Hamza Mehmood,NA,23,1645,Manzor Ahmad,-99,0
uuid:439147ab-c450-4682-88ba-ea4752edf2f4,Hamza Mehmood,NA,23,1646,Sobadar Khan,0,0
uuid:33397f45-a870-4afe-b46c-c6155f1cb4b4,Hamza Mehmood,NA,24,-9999,Bashir Khan,0,0
uuid:85a709a8-3dbd-42aa-b0c5-d5cdf32072bf,Hamza Mehmood,NA,24,-9999,Kaleem Akbar,0,0
uuid:f139c04a-f295-4947-940f-ab950db0d833,Hamza Mehmood,NA,24,-9999,Muhammad Tahir Khan,0,0
uuid:0c5c79c5-ce2b-4226-af0b-ad97316a20fd,Hamza Mehmood,NA,24,1765,Farooq Shah,0,0
uuid:8c669607-9afb-4739-ba63-b6ca1e41fc7c,Hamza Mehmood,NA,24,1768,Mian Alamgir Shah,0,0
uuid:b9914db0-afeb-40f4-a65b-6f9e1fe74c68,Hamza Mehmood,NA,24,1769,Muhammad Shafiq,0,0
uuid:5e39a526-4002-4f78-a3d5-df1e9874d026,Hamza Mehmood,NA,24,1770,Zahoor Ahmad,0,0
uuid:b99fc7af-5535-4c96-8972-b20db32e0e39,Hamza Mehmood,NA,25,-9999,Daniyal Afridi,0,0
uuid:a09ac313-f957-4d39-a9d9-4b39cc0f163f,Hamza Hashmi,NA,25,-9999,Danyal Afridi,0,0
uuid:81bce66f-46b0-49fd-bc07-248927218446,Hamza Mehmood,NA,25,-9999,Jumma Khan,0,0
uuid:2f84a2d2-c926-43c0-9cf6-66fc14bf68d6,Hamza Mehmood,NA,25,-9999,Muhammad Ismail,0,0
uuid:9cfae304-d18c-4782-b831-e6c57f46a479,Hamza Mehmood,NA,25,-9999,Nasrat Iqbal,-99,0
uuid:11a33bbc-76f8-4769-b649-288ae02beb81,Hamza Mehmood,NA,25,-9999,Rizwan Ullah,0,0
uuid:f861bf6b-e02d-4ef9-bea7-6bf50a37e49e,Hamza Mehmood,NA,25,1938,Ayesha Gulalai,0,0
uuid:c6ed0799-885d-40c5-b9c1-d29e13f2a660,Hamza Mehmood,NA,25,1943,Muhammad Sher Ali,0,0
uuid:fd05e73d-ec94-4c2c-9df7-ac20d5c8aaa8,Hamza Mehmood,NA,25,1945,Siraj Muhammad,0,0
uuid:6b33c45a-a921-4499-9722-77f502943d83,Hamza Hashmi,NA,26,-9999,Muhammad Bashir Khan,-99,0
uuid:43233e98-2630-4960-9342-e96f8e504aea,Hamza Hashmi,NA,26,2121,Jamal Khan Khattak,-99,0
uuid:f556dd1f-4d61-4a15-8b96-1f780bfd66f8,Hamza Hashmi,NA,26,2122,Muhammad Faisal Khattak,-99,0
uuid:13bdbe5b-7397-42f8-9bb0-7325b89b4f38,Hamza Hashmi,NA,26,2123,Muhammad Tanvir,-99,0
uuid:1ebd90d6-7d13-4896-839d-d21e154f9aa4,Hamza Hashmi,NA,26,2125,Sana Ullah Jan,-99,0
uuid:967482b0-3a70-44ce-ae03-7e56cc048652,Hamza Hashmi,NA,27,-9999,Arbab Zaraq Khan,-99,0
uuid:59958acb-e995-4961-b0ee-d0489c966d2d,Hamza Hashmi,NA,27,-9999,Iftikhar Ahmad,-99,0
uuid:bc1de745-c6e9-46a7-b0f9-ec62c099982a,Hamza Hashmi,NA,27,2311,Amjad Ali,-99,0
uuid:97eb9921-21a1-46e4-b1d5-77d276cd4b83,Hamza Hashmi,NA,27,2312,Asma Alamgir,-99,0
uuid:1c608f1f-cc18-4887-b40b-ac0ad12cc850,Hamza Hashmi,NA,27,2313,Faqir Muhammad,-99,0
uuid:a47e20cd-9def-467b-afd8-8262c2f648fa,Hamza Hashmi,NA,28,-9999,Farhan Zafeer,-99,0
uuid:a999991a-c29f-4f19-907d-bfc84cba9ec5,Hamza Hashmi,NA,28,2366,Ikram Ullah,-99,0
uuid:2954f4df-aa21-423f-b9e5-e7b7cedb9eb2,Hamza Hashmi,NA,28,2368,Muhammad Intikhb Khan,-99,0
uuid:e282ce89-3028-432a-9e51-7d0e864cadef,Hamza Hashmi,NA,28,2369,Sabir Hussain Awan,-99,0
uuid:06ad4ef1-2134-40cf-b622-0b655eca709b,Faizan,NA,36,-9999,Akhtar Munir Marwat,-99,0
uuid:79cb5122-b4e9-4836-9868-0175c930ea93,Faizan,NA,36,-9999,Aziz Ullah,-99,0
uuid:a87a71cb-7e15-45aa-85e9-da4551c41b57,Faizan,NA,36,-9999,Ghulam Rasool,-99,0
uuid:b48db5c6-7361-404c-a6d6-f5c668ffefeb,Faizan,NA,36,-9999,Malik Noor Aslam Khan,-99,0
uuid:d0ec7f2e-d764-47b1-88d6-374a73b778a8,Faizan,NA,36,-9999,Najan Ul Saqib,-99,0
uuid:91bd1b58-b830-4d81-aa99-1b8dec46435c,Faizan,NA,36,-9999,Nisar Ahmed,-99,0
uuid:829cf312-e578-4f25-913e-03a660cfcdcb,Faizan,NA,36,-9999,Noor Saleem Malik,-99,0
uuid:faa6b1c8-32c0-4aab-9549-ba329c725e0b,Faizan,NA,36,2459,Abdullah,-99,0
uuid:dc43a678-c09c-42fd-81a1-783efc6c4b2e,Faizan,NA,36,2460,Amir Nawaz Khan,-99,0
uuid:88421617-c0e9-4c68-88af-2e124ba07670,Faizan,NA,36,2462,Aziz Khan,-99,0
uuid:72f106ff-9df9-407c-9f8e-bb483ac4bff2,Faizan,NA,36,2464,Haji Jameel Ur Rehman Nasir,0,0
uuid:1631231e-5472-4738-856f-fe8e9ba79777,Faizan,NA,36,2465,Imran Nawab,-99,0
uuid:2efadd64-1e9a-4155-966a-8c8891f40ad4,Faizan,NA,36,2466,Imran Ullah Khan,-99,0
